CoverageChangePercent,CoveredLinesChange,TotalLinesChange
0.07098800469217403,3,-6
0.01174260216063594,1,0
0.5202229750287668,295,342
0.024723712512675355,10,0
0.051049736020919445,32,45
0.0,0,0
0.0,0,0
0.0,0,0
0.0019530866550543369,1340,4644
0.002161040757231447,1,0
0.3082837823898288,156,46
-0.3189598893884871,-161,-46
0.6471341203242775,91,0
0.09244773147489699,13,0
0.042668183757645084,6,0
0.0,0,0
0.0,0,0
0.0,0,0
-1.0572624707301497,-149,0
-0.024162371134020533,-3,0
0.0,0,0
0.0,0,0
0.38653567402158057,48,0
0.020304568527917954,16,0
0.0,0,0
0.01480454109818452,19,0
0.00904868190866881,3,0
-0.0016192234204487344,-1,0
-0.0016192234204487344,-1,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.27166578405015684,43,6
0.0,0,0
0.007509762691498834,2,0
0.0,0,0
0.0,0,0
0.015197327783261771,18,41
-0.003296522169116134,-1,0
1.2435727129022467,701,1317
1.2435727129022467,701,1317
0.0,0,0
5.08064516129032,441,0
5.08064516129032,441,0
0.510787527635892,67,0
0.09877668870146294,13,0
0.0,0,0
-0.5310126115495251,-72,0
16.10738255033557,2184,0
0.16962902868943308,23,0
0.005506001541680239,2,0
0.07433102081268461,27,0
0.016518004625040716,6,0
-0.09736285746077822,-35,0
0.016627868307281246,6,0
0.008314164565031978,3,0
-3.107569716783243,-1470,-32
-3.107569716783243,-1470,-32
-3.107569716783243,-1470,-32
3.3306908438479113,1585,108
0.0,0,0
0.0005953042401543596,3,0
0.0,0,0
0.05615703332116362,283,0
0.05615703332116362,283,0
0.030757385741272958,155,0
0.002446308238601702,13,0
0.002446308238601702,13,0
0.025210242131205873,134,0
0.015615299230523072,83,0
0.027460797830221317,146,0
0.020689642200852343,110,0
-0.030844055090491207,-164,0
-0.030844055090491207,-164,0
0.0,0,0
0.025761225406960298,137,0
-0.011812086576969139,-63,0
-0.011812086576969139,-63,0
-0.00037498687545933773,-2,0
-0.00037498687545933773,-2,0
-0.09918402855900038,-529,0
-0.022286285307582254,-31,0
-0.13799051315221966,-192,0
0.0,0,0
0.0,0,0
-0.36788890705624633,-42,-57
0.08982665367047171,47,0
0.2058623555186212,109,0
0.6362513567124528,340,0
0.053739292903881575,15,-52
0.0710700422701771,-675,-2265
0.10784149807724352,129,0
-0.01233258515650204,-15,0
0.0,0,0
0.0,0,0
-5.17110088372621,14,148
8.469372292135912,-3,-212
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
2.3942537909018347,390,0
0.0,0,0
-0.024556449137458358,-4,0
0.0,0,0
-0.4608938547486008,-66,0
0.5132675948600063,-3,-35
0.5132675948600063,-3,-35
0.018326766242096615,4,0
0.018326766242096615,4,0
0.0182573371673711,4,0
0.027386005751062203,6,0
0.0,0,0
0.0,0,0
-0.11020729467331458,-21,0
-0.11020729467331458,-21,0
0.0,0,0
0.0,0,0
0.0,0,0
6.240126382306476,237,0
0.0,0,0
0.0,0,0
0.0,0,0
0.5572065378900481,15,0
0.0,0,0
25.10926386151341,17580,0
0.9970288687528639,1349,0
0.47449857763365993,603,5
0.47449857763365993,603,5
4.731330020926006,5866,94
0.05993116015387823,74,0
0.018675148495492233,27,24
-0.004476432682745668,-26,-5
0.11400695765855229,648,49
0.11400695765855229,648,49
0.7293614771472584,4104,102
0.7293614771472584,4104,102
0.7293614771472584,4104,102
-0.08680766597466971,-462,109
-0.6621901173060968,-3731,-44
-0.6621901173060968,-3731,-44
16.444918512612198,80492,1330
-0.22995563421402965,-382,0
-0.1031760537222981,-175,0
0.02098416056064978,52,-22
0.0024779339977465398,5,0
-0.0009857509697286382,-2,0
0.0,0,0
0.010813441107293542,4,0
0.4325376442918527,160,0
0.006538511834708327,1,0
0.018146694478177183,20,37
0.018146694478177183,20,37
0.0,0,0
0.05038100636060028,8,0
2.6622773605460557,418,-29
0.0,0,0
0.0,0,0
0.0,0,0
-0.001483745567310013,-3,0
-0.35309547028953836,-315,0
1.2049312712780147,1037,0
0.0,0,0
0.14033118158854885,20,0
0.0,0,0
0.0,0,0
0.0,0,0
0.057480702906886894,7,0
0.0,0,0
0.0,0,0
0.0,0,0
-0.13153095398627523,-119,0
0.13463851765199153,122,0
0.13463851765199153,122,0
3.308420414360036,3119,7
3.308420414360036,3119,7
3.308420414360036,3119,7
3.308420414360036,3119,7
-0.007430761228410798,-7,0
0.0037235627047937925,4,0
0.0037235627047937925,4,0
0.015161217285203366,16,13
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
-0.007562866326338291,-2,0
1.7493336385112634,177,2
1.7493336385112634,177,2
1.7493336385112634,177,2
1.7493336385112634,177,2
1.7493336385112634,177,2
1.5900243043081796,163,5
1.2334626479657884,124,0
0.0,0,0
0.0,0,0
0.007792410192472565,3,0
0.3428660484687915,132,0
0.29351411724979903,113,0
-0.6490737669967328,-274,0
0.2370291000995839,190,523
-0.7709667658251963,-374,1498
-0.2551257673334355,-191,-1320
0.00372508847085104,2,0
0.07557226100272513,38,0
0.07557226100272513,38,0
0.0,0,0
0.19153083402310422,332,12
0.19153083402310422,332,12
0.19153083402310422,332,12
6.629000817167527,11599,14
0.0,0,0
0.0009913783132753373,3,0
-0.43953002576554434,-1334,0
0.029334583241669154,92,0
-0.0012754085292887574,-4,0
0.0,0,0
0.1499358545103635,665,0
0.1874422493069905,852,0
-0.0008798305446422461,-4,0
-0.13693656970709123,-645,0
-0.001485587677263478,-7,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
27.179257403461193,6244,38
0.004358437935841897,1,0
0.0,0,0
0.0,0,0
8.1666804393783,2792,27
0.5352442234571514,183,0
1.795269144177071,614,0
19.853275532785645,6549,132
0.0,0,0
-0.006058403004968738,-2,0
0.5842995973479453,193,0
0.5842995973479453,193,0
0.5842995973479453,193,0
0.17559262510974671,58,0
0.17559262510974671,58,0
0.0,0,0
0.0,0,0
0.8816528051253436,300,0
0.02644958415375931,9,0
0.02644958415375931,9,0
0.03330338799262256,14,13
0.09689068968554704,33,0
0.09689068968554704,33,0
0.09689068968554704,33,0
0.09689068968554704,33,0
0.20171149144254386,66,0
1.2831871925697347,420,0
1.2831871925697347,420,0
