Iteration,G1_Total_Projects,G1_Detected_Count,G1_Detection_Rate_pct,G2_Total_Projects,G2_Detected_Count,G2_Detection_Rate_pct
121,633,11,1.7377567140600316,144,11,7.638888888888889
122,633,8,1.263823064770932,144,8,5.555555555555555
123,633,14,2.211690363349131,144,9,6.25
124,633,9,1.4218009478672986,144,10,6.944444444444445
125,633,15,2.3696682464454977,144,5,3.4722222222222223
126,633,5,0.7898894154818324,144,8,5.555555555555555
127,633,15,2.3696682464454977,144,10,6.944444444444445
128,633,16,2.527646129541864,144,6,4.166666666666666
129,633,22,3.4755134281200633,144,9,6.25
130,633,8,1.263823064770932,144,5,3.4722222222222223
131,633,11,1.7377567140600316,144,5,3.4722222222222223
132,633,19,3.0015797788309637,144,13,9.027777777777777
133,633,10,1.579778830963665,144,4,2.7777777777777777
134,633,12,1.8957345971563981,144,9,6.25
135,633,11,1.7377567140600316,144,8,5.555555555555555
136,633,14,2.211690363349131,144,10,6.944444444444445
137,633,13,2.0537124802527646,144,7,4.861111111111112
138,633,6,0.9478672985781991,144,10,6.944444444444445
139,633,17,2.6856240126382307,144,5,3.4722222222222223
140,633,21,3.3175355450236967,144,9,6.25
141,633,14,2.211690363349131,144,4,2.7777777777777777
142,633,13,2.0537124802527646,144,10,6.944444444444445
143,633,15,2.3696682464454977,144,8,5.555555555555555
144,633,12,1.8957345971563981,144,8,5.555555555555555
145,633,11,1.7377567140600316,144,4,2.7777777777777777
146,633,12,1.8957345971563981,144,6,4.166666666666666
147,633,14,2.211690363349131,144,5,3.4722222222222223
148,633,11,1.7377567140600316,144,3,2.083333333333333
149,633,13,2.0537124802527646,144,7,4.861111111111112
150,633,11,1.7377567140600316,144,5,3.4722222222222223
151,633,8,1.263823064770932,144,3,2.083333333333333
152,633,8,1.263823064770932,144,6,4.166666666666666
153,633,9,1.4218009478672986,144,3,2.083333333333333
154,633,13,2.0537124802527646,144,8,5.555555555555555
155,633,13,2.0537124802527646,144,4,2.7777777777777777
156,633,16,2.527646129541864,144,2,1.3888888888888888
157,633,14,2.211690363349131,144,6,4.166666666666666
158,633,12,1.8957345971563981,144,7,4.861111111111112
159,633,12,1.8957345971563981,144,8,5.555555555555555
160,633,12,1.8957345971563981,144,4,2.7777777777777777
161,633,12,1.8957345971563981,144,5,3.4722222222222223
162,633,9,1.4218009478672986,144,11,7.638888888888889
163,633,10,1.579778830963665,144,6,4.166666666666666
164,633,8,1.263823064770932,144,3,2.083333333333333
165,633,15,2.3696682464454977,144,5,3.4722222222222223
166,633,13,2.0537124802527646,144,8,5.555555555555555
167,633,11,1.7377567140600316,144,7,4.861111111111112
168,633,8,1.263823064770932,144,7,4.861111111111112
169,633,10,1.579778830963665,144,3,2.083333333333333
170,633,5,0.7898894154818324,144,3,2.083333333333333
171,633,14,2.211690363349131,144,8,5.555555555555555
172,633,5,0.7898894154818324,144,2,1.3888888888888888
173,633,10,1.579778830963665,144,2,1.3888888888888888
174,633,13,2.0537124802527646,144,6,4.166666666666666
175,633,15,2.3696682464454977,144,4,2.7777777777777777
176,633,11,1.7377567140600316,144,7,4.861111111111112
177,633,11,1.7377567140600316,144,5,3.4722222222222223
178,633,5,0.7898894154818324,144,5,3.4722222222222223
179,633,10,1.579778830963665,144,10,6.944444444444445
180,633,12,1.8957345971563981,144,4,2.7777777777777777
181,633,7,1.1058451816745656,144,7,4.861111111111112
182,633,9,1.4218009478672986,144,4,2.7777777777777777
183,633,9,1.4218009478672986,144,6,4.166666666666666
184,633,9,1.4218009478672986,144,9,6.25
185,633,12,1.8957345971563981,144,6,4.166666666666666
186,633,18,2.843601895734597,144,3,2.083333333333333
187,633,11,1.7377567140600316,144,4,2.7777777777777777
188,633,9,1.4218009478672986,144,7,4.861111111111112
189,633,8,1.263823064770932,144,7,4.861111111111112
190,633,14,2.211690363349131,144,6,4.166666666666666
191,633,16,2.527646129541864,144,7,4.861111111111112
192,633,11,1.7377567140600316,144,6,4.166666666666666
193,633,11,1.7377567140600316,144,10,6.944444444444445
194,633,8,1.263823064770932,144,7,4.861111111111112
195,633,9,1.4218009478672986,144,5,3.4722222222222223
196,633,14,2.211690363349131,144,6,4.166666666666666
197,633,12,1.8957345971563981,144,11,7.638888888888889
198,633,11,1.7377567140600316,144,6,4.166666666666666
199,633,11,1.7377567140600316,144,6,4.166666666666666
200,633,11,1.7377567140600316,144,10,6.944444444444445
201,633,15,2.3696682464454977,144,4,2.7777777777777777
202,633,5,0.7898894154818324,144,5,3.4722222222222223
203,633,16,2.527646129541864,144,6,4.166666666666666
204,633,12,1.8957345971563981,144,9,6.25
205,633,14,2.211690363349131,144,6,4.166666666666666
206,633,10,1.579778830963665,144,5,3.4722222222222223
207,633,15,2.3696682464454977,144,5,3.4722222222222223
208,633,13,2.0537124802527646,144,8,5.555555555555555
209,633,12,1.8957345971563981,144,10,6.944444444444445
210,633,10,1.579778830963665,144,5,3.4722222222222223
211,633,11,1.7377567140600316,144,8,5.555555555555555
212,633,13,2.0537124802527646,144,10,6.944444444444445
213,633,11,1.7377567140600316,144,7,4.861111111111112
214,633,12,1.8957345971563981,144,3,2.083333333333333
215,633,9,1.4218009478672986,144,4,2.7777777777777777
216,633,13,2.0537124802527646,144,8,5.555555555555555
217,633,11,1.7377567140600316,144,3,2.083333333333333
218,633,10,1.579778830963665,144,3,2.083333333333333
219,633,12,1.8957345971563981,144,4,2.7777777777777777
220,633,16,2.527646129541864,144,4,2.7777777777777777
221,633,11,1.7377567140600316,144,5,3.4722222222222223
222,633,9,1.4218009478672986,144,4,2.7777777777777777
223,633,16,2.527646129541864,144,7,4.861111111111112
224,633,15,2.3696682464454977,144,10,6.944444444444445
225,633,11,1.7377567140600316,144,6,4.166666666666666
226,633,9,1.4218009478672986,144,4,2.7777777777777777
227,633,15,2.3696682464454977,144,8,5.555555555555555
228,633,8,1.263823064770932,144,4,2.7777777777777777
229,633,15,2.3696682464454977,144,7,4.861111111111112
230,633,12,1.8957345971563981,144,5,3.4722222222222223
231,633,7,1.1058451816745656,144,8,5.555555555555555
232,633,9,1.4218009478672986,144,5,3.4722222222222223
233,633,16,2.527646129541864,144,6,4.166666666666666
234,633,5,0.7898894154818324,144,5,3.4722222222222223
235,633,11,1.7377567140600316,144,4,2.7777777777777777
236,633,14,2.211690363349131,144,7,4.861111111111112
237,633,8,1.263823064770932,144,8,5.555555555555555
238,633,10,1.579778830963665,144,7,4.861111111111112
239,633,8,1.263823064770932,144,10,6.944444444444445
240,633,13,2.0537124802527646,144,10,6.944444444444445
241,633,5,0.7898894154818324,144,7,4.861111111111112
242,633,7,1.1058451816745656,144,5,3.4722222222222223
243,633,16,2.527646129541864,144,5,3.4722222222222223
244,633,8,1.263823064770932,144,7,4.861111111111112
245,633,7,1.1058451816745656,144,11,7.638888888888889
246,633,19,3.0015797788309637,144,5,3.4722222222222223
247,633,7,1.1058451816745656,144,10,6.944444444444445
248,633,12,1.8957345971563981,144,4,2.7777777777777777
249,633,11,1.7377567140600316,144,9,6.25
250,633,10,1.579778830963665,144,4,2.7777777777777777
251,633,4,0.631911532385466,144,8,5.555555555555555
252,633,13,2.0537124802527646,144,4,2.7777777777777777
253,633,13,2.0537124802527646,144,6,4.166666666666666
254,633,10,1.579778830963665,144,3,2.083333333333333
255,633,15,2.3696682464454977,144,7,4.861111111111112
256,633,6,0.9478672985781991,144,7,4.861111111111112
257,633,11,1.7377567140600316,144,6,4.166666666666666
258,633,9,1.4218009478672986,144,6,4.166666666666666
259,633,13,2.0537124802527646,144,7,4.861111111111112
260,633,13,2.0537124802527646,144,5,3.4722222222222223
261,633,6,0.9478672985781991,144,4,2.7777777777777777
262,633,10,1.579778830963665,144,4,2.7777777777777777
263,633,9,1.4218009478672986,144,2,1.3888888888888888
264,633,11,1.7377567140600316,144,4,2.7777777777777777
265,633,6,0.9478672985781991,144,6,4.166666666666666
266,633,7,1.1058451816745656,144,4,2.7777777777777777
267,633,13,2.0537124802527646,144,5,3.4722222222222223
268,633,8,1.263823064770932,144,4,2.7777777777777777
269,633,16,2.527646129541864,144,4,2.7777777777777777
270,633,9,1.4218009478672986,144,9,6.25
271,633,11,1.7377567140600316,144,11,7.638888888888889
272,633,8,1.263823064770932,144,4,2.7777777777777777
273,633,12,1.8957345971563981,144,6,4.166666666666666
274,633,9,1.4218009478672986,144,7,4.861111111111112
275,633,9,1.4218009478672986,144,5,3.4722222222222223
276,633,8,1.263823064770932,144,3,2.083333333333333
277,633,7,1.1058451816745656,144,4,2.7777777777777777
278,633,11,1.7377567140600316,144,8,5.555555555555555
279,633,8,1.263823064770932,144,4,2.7777777777777777
280,633,8,1.263823064770932,144,5,3.4722222222222223
281,633,9,1.4218009478672986,144,7,4.861111111111112
282,633,11,1.7377567140600316,144,6,4.166666666666666
283,633,10,1.579778830963665,144,9,6.25
284,633,6,0.9478672985781991,144,10,6.944444444444445
285,633,6,0.9478672985781991,144,3,2.083333333333333
286,633,10,1.579778830963665,144,4,2.7777777777777777
287,633,10,1.579778830963665,144,8,5.555555555555555
288,633,9,1.4218009478672986,144,8,5.555555555555555
289,633,10,1.579778830963665,144,5,3.4722222222222223
290,633,7,1.1058451816745656,144,4,2.7777777777777777
291,633,8,1.263823064770932,144,6,4.166666666666666
292,633,7,1.1058451816745656,144,8,5.555555555555555
293,633,11,1.7377567140600316,144,4,2.7777777777777777
294,633,7,1.1058451816745656,144,8,5.555555555555555
295,633,4,0.631911532385466,144,4,2.7777777777777777
296,633,7,1.1058451816745656,144,5,3.4722222222222223
297,633,10,1.579778830963665,144,4,2.7777777777777777
298,633,5,0.7898894154818324,144,6,4.166666666666666
299,633,5,0.7898894154818324,144,5,3.4722222222222223
300,633,9,1.4218009478672986,144,4,2.7777777777777777
301,633,10,1.579778830963665,144,6,4.166666666666666
302,633,7,1.1058451816745656,144,5,3.4722222222222223
303,633,9,1.4218009478672986,144,5,3.4722222222222223
304,633,12,1.8957345971563981,144,5,3.4722222222222223
305,633,11,1.7377567140600316,144,6,4.166666666666666
306,633,8,1.263823064770932,144,4,2.7777777777777777
307,633,9,1.4218009478672986,144,10,6.944444444444445
308,633,8,1.263823064770932,144,7,4.861111111111112
309,633,8,1.263823064770932,144,7,4.861111111111112
310,633,5,0.7898894154818324,144,8,5.555555555555555
311,633,11,1.7377567140600316,144,6,4.166666666666666
312,633,6,0.9478672985781991,144,6,4.166666666666666
313,633,10,1.579778830963665,144,5,3.4722222222222223
314,633,6,0.9478672985781991,144,4,2.7777777777777777
315,633,15,2.3696682464454977,144,5,3.4722222222222223
316,633,7,1.1058451816745656,144,2,1.3888888888888888
317,633,5,0.7898894154818324,144,4,2.7777777777777777
318,633,13,2.0537124802527646,144,9,6.25
319,633,9,1.4218009478672986,144,8,5.555555555555555
320,633,4,0.631911532385466,144,9,6.25
321,633,8,1.263823064770932,144,3,2.083333333333333
322,633,12,1.8957345971563981,144,4,2.7777777777777777
323,633,11,1.7377567140600316,144,2,1.3888888888888888
324,633,12,1.8957345971563981,144,4,2.7777777777777777
325,633,12,1.8957345971563981,144,1,0.6944444444444444
326,633,8,1.263823064770932,144,0,0.0
327,633,5,0.7898894154818324,144,3,2.083333333333333
328,633,8,1.263823064770932,144,7,4.861111111111112
329,633,5,0.7898894154818324,144,5,3.4722222222222223
330,633,8,1.263823064770932,144,5,3.4722222222222223
331,633,9,1.4218009478672986,144,8,5.555555555555555
332,633,9,1.4218009478672986,144,2,1.3888888888888888
333,633,10,1.579778830963665,144,4,2.7777777777777777
334,633,6,0.9478672985781991,144,6,4.166666666666666
335,633,12,1.8957345971563981,144,6,4.166666666666666
336,633,8,1.263823064770932,144,6,4.166666666666666
337,633,13,2.0537124802527646,144,5,3.4722222222222223
338,633,8,1.263823064770932,144,6,4.166666666666666
339,633,12,1.8957345971563981,144,5,3.4722222222222223
340,633,6,0.9478672985781991,144,4,2.7777777777777777
341,633,11,1.7377567140600316,144,7,4.861111111111112
342,633,14,2.211690363349131,144,3,2.083333333333333
343,633,6,0.9478672985781991,144,3,2.083333333333333
344,633,14,2.211690363349131,144,4,2.7777777777777777
345,633,8,1.263823064770932,144,0,0.0
346,633,12,1.8957345971563981,144,1,0.6944444444444444
347,633,9,1.4218009478672986,144,1,0.6944444444444444
348,633,11,1.7377567140600316,144,2,1.3888888888888888
349,633,11,1.7377567140600316,144,5,3.4722222222222223
350,633,9,1.4218009478672986,144,4,2.7777777777777777
351,633,9,1.4218009478672986,144,11,7.638888888888889
352,633,9,1.4218009478672986,144,3,2.083333333333333
353,633,8,1.263823064770932,144,4,2.7777777777777777
354,633,6,0.9478672985781991,144,0,0.0
355,633,10,1.579778830963665,144,5,3.4722222222222223
356,633,8,1.263823064770932,144,2,1.3888888888888888
357,633,8,1.263823064770932,144,3,2.083333333333333
358,633,9,1.4218009478672986,144,2,1.3888888888888888
359,633,7,1.1058451816745656,144,4,2.7777777777777777
360,633,10,1.579778830963665,144,2,1.3888888888888888
361,633,7,1.1058451816745656,144,4,2.7777777777777777
362,633,10,1.579778830963665,144,5,3.4722222222222223
363,633,13,2.0537124802527646,144,4,2.7777777777777777
364,633,9,1.4218009478672986,144,6,4.166666666666666
365,633,10,1.579778830963665,144,9,6.25
366,633,10,1.579778830963665,144,5,3.4722222222222223
367,632,7,1.1075949367088607,144,3,2.083333333333333
368,632,7,1.1075949367088607,144,7,4.861111111111112
369,632,5,0.7911392405063291,144,1,0.6944444444444444
370,632,6,0.949367088607595,144,3,2.083333333333333
371,632,8,1.2658227848101267,144,5,3.4722222222222223
372,631,14,2.218700475435816,144,4,2.7777777777777777
373,631,8,1.2678288431061806,144,6,4.166666666666666
374,631,3,0.4754358161648178,144,4,2.7777777777777777
375,631,8,1.2678288431061806,144,6,4.166666666666666
376,631,9,1.4263074484944533,144,4,2.7777777777777777
377,631,5,0.7923930269413629,144,2,1.3888888888888888
378,631,6,0.9508716323296356,144,5,3.4722222222222223
379,631,10,1.5847860538827259,144,4,2.7777777777777777
380,631,8,1.2678288431061806,144,2,1.3888888888888888
381,631,9,1.4263074484944533,144,5,3.4722222222222223
382,631,7,1.109350237717908,144,6,4.166666666666666
383,630,11,1.746031746031746,144,8,5.555555555555555
384,630,11,1.746031746031746,144,3,2.083333333333333
385,630,4,0.6349206349206349,144,5,3.4722222222222223
386,630,6,0.9523809523809524,144,5,3.4722222222222223
387,630,9,1.4285714285714286,144,2,1.3888888888888888
388,630,4,0.6349206349206349,144,3,2.083333333333333
389,630,7,1.1111111111111112,144,4,2.7777777777777777
390,630,13,2.0634920634920633,144,4,2.7777777777777777
391,630,8,1.2698412698412698,144,4,2.7777777777777777
392,630,8,1.2698412698412698,144,2,1.3888888888888888
393,629,15,2.384737678855326,144,6,4.166666666666666
394,629,10,1.5898251192368837,144,6,4.166666666666666
395,629,4,0.6359300476947536,144,7,4.861111111111112
396,629,6,0.9538950715421303,144,5,3.4722222222222223
397,629,7,1.1128775834658187,144,7,4.861111111111112
398,629,11,1.7488076311605723,144,2,1.3888888888888888
399,628,10,1.5923566878980893,144,3,2.083333333333333
400,628,12,1.910828025477707,144,3,2.083333333333333
401,628,3,0.47770700636942676,144,8,5.555555555555555
402,628,5,0.7961783439490446,144,6,4.166666666666666
403,628,7,1.1146496815286624,144,4,2.7777777777777777
404,628,9,1.4331210191082804,144,6,4.166666666666666
405,628,5,0.7961783439490446,144,7,4.861111111111112
406,628,4,0.6369426751592357,144,5,3.4722222222222223
407,628,11,1.7515923566878981,144,6,4.166666666666666
408,628,5,0.7961783439490446,144,4,2.7777777777777777
409,628,8,1.2738853503184715,144,5,3.4722222222222223
410,628,10,1.5923566878980893,144,4,2.7777777777777777
411,628,9,1.4331210191082804,144,2,1.3888888888888888
412,628,11,1.7515923566878981,144,5,3.4722222222222223
413,628,10,1.5923566878980893,144,4,2.7777777777777777
414,628,10,1.5923566878980893,144,5,3.4722222222222223
415,628,6,0.9554140127388535,144,6,4.166666666666666
416,628,6,0.9554140127388535,144,8,5.555555555555555
417,628,7,1.1146496815286624,144,6,4.166666666666666
418,628,5,0.7961783439490446,144,3,2.083333333333333
419,627,8,1.2759170653907497,144,9,6.25
420,627,4,0.6379585326953748,144,1,0.6944444444444444
421,627,4,0.6379585326953748,144,6,4.166666666666666
422,625,7,1.1199999999999999,144,4,2.7777777777777777
423,625,6,0.96,144,2,1.3888888888888888
424,625,8,1.28,144,4,2.7777777777777777
425,625,10,1.6,144,3,2.083333333333333
426,624,9,1.4423076923076923,144,11,7.638888888888889
427,623,7,1.1235955056179776,144,4,2.7777777777777777
428,622,7,1.1254019292604502,144,7,4.861111111111112
429,618,12,1.9417475728155338,144,6,4.166666666666666
430,618,7,1.132686084142395,144,5,3.4722222222222223
431,617,7,1.1345218800648298,144,2,1.3888888888888888
432,617,7,1.1345218800648298,144,9,6.25
433,616,3,0.487012987012987,144,2,1.3888888888888888
434,615,4,0.6504065040650406,144,5,3.4722222222222223
435,615,6,0.975609756097561,144,5,3.4722222222222223
436,615,6,0.975609756097561,144,3,2.083333333333333
437,615,8,1.3008130081300813,144,7,4.861111111111112
438,615,4,0.6504065040650406,144,3,2.083333333333333
439,614,5,0.8143322475570033,144,5,3.4722222222222223
440,614,9,1.4657980456026058,144,3,2.083333333333333
441,614,6,0.9771986970684038,144,2,1.3888888888888888
442,613,7,1.1419249592169658,144,5,3.4722222222222223
443,613,10,1.631321370309951,144,4,2.7777777777777777
444,613,7,1.1419249592169658,144,4,2.7777777777777777
445,613,5,0.8156606851549755,144,5,3.4722222222222223
446,613,8,1.3050570962479608,144,5,3.4722222222222223
447,612,8,1.3071895424836601,144,4,2.7777777777777777
448,612,6,0.9803921568627451,144,7,4.861111111111112
449,612,11,1.7973856209150325,144,5,3.4722222222222223
450,612,10,1.6339869281045754,144,3,2.083333333333333
451,612,7,1.1437908496732025,144,5,3.4722222222222223
452,612,10,1.6339869281045754,144,4,2.7777777777777777
453,612,9,1.4705882352941175,144,9,6.25
454,612,6,0.9803921568627451,144,2,1.3888888888888888
455,612,9,1.4705882352941175,144,7,4.861111111111112
456,612,9,1.4705882352941175,144,4,2.7777777777777777
457,612,7,1.1437908496732025,144,5,3.4722222222222223
458,612,9,1.4705882352941175,144,4,2.7777777777777777
459,612,12,1.9607843137254901,144,4,2.7777777777777777
460,612,6,0.9803921568627451,143,1,0.6993006993006993
461,612,4,0.6535947712418301,143,4,2.797202797202797
462,611,3,0.4909983633387889,143,6,4.195804195804196
463,611,5,0.8183306055646482,143,1,0.6993006993006993
464,611,10,1.6366612111292964,143,4,2.797202797202797
465,611,4,0.6546644844517185,143,4,2.797202797202797
466,611,7,1.1456628477905073,143,4,2.797202797202797
467,610,9,1.4754098360655739,143,3,2.097902097902098
468,610,6,0.9836065573770493,143,5,3.4965034965034967
469,610,11,1.8032786885245904,143,2,1.3986013986013985
470,610,4,0.6557377049180327,143,3,2.097902097902098
471,609,6,0.9852216748768473,143,3,2.097902097902098
472,609,5,0.8210180623973727,143,5,3.4965034965034967
473,609,10,1.6420361247947455,142,2,1.4084507042253522
474,609,10,1.6420361247947455,142,2,1.4084507042253522
475,609,4,0.6568144499178982,142,4,2.8169014084507045
476,608,13,2.138157894736842,142,2,1.4084507042253522
477,608,6,0.9868421052631579,142,4,2.8169014084507045
478,608,5,0.8223684210526315,142,6,4.225352112676056
479,608,4,0.6578947368421052,142,2,1.4084507042253522
480,608,3,0.4934210526315789,142,4,2.8169014084507045
481,608,6,0.9868421052631579,142,7,4.929577464788732
482,607,7,1.1532125205930808,142,5,3.5211267605633805
483,606,5,0.825082508250825,142,2,1.4084507042253522
484,605,5,0.8264462809917356,142,6,4.225352112676056
485,605,6,0.9917355371900827,142,4,2.8169014084507045
486,605,8,1.322314049586777,142,4,2.8169014084507045
487,605,6,0.9917355371900827,142,2,1.4084507042253522
488,605,4,0.6611570247933884,142,6,4.225352112676056
489,605,7,1.1570247933884297,142,5,3.5211267605633805
490,605,5,0.8264462809917356,142,2,1.4084507042253522
491,605,5,0.8264462809917356,142,2,1.4084507042253522
492,604,3,0.49668874172185434,142,2,1.4084507042253522
493,604,5,0.8278145695364238,142,4,2.8169014084507045
494,604,5,0.8278145695364238,141,2,1.4184397163120568
495,603,8,1.3266998341625207,141,5,3.546099290780142
496,601,8,1.3311148086522462,141,2,1.4184397163120568
497,600,10,1.6666666666666667,141,4,2.8368794326241136
498,598,5,0.8361204013377926,141,7,4.964539007092199
499,597,8,1.340033500837521,141,4,2.8368794326241136
500,597,6,1.0050251256281406,141,4,2.8368794326241136
501,597,4,0.6700167504187605,141,3,2.127659574468085
502,596,4,0.6711409395973155,141,6,4.25531914893617
503,595,7,1.1764705882352942,141,8,5.673758865248227
504,594,6,1.0101010101010102,141,3,2.127659574468085
505,594,9,1.5151515151515151,141,4,2.8368794326241136
506,593,5,0.8431703204047217,141,6,4.25531914893617
507,591,8,1.353637901861252,141,6,4.25531914893617
508,591,13,2.199661590524535,141,6,4.25531914893617
509,591,8,1.353637901861252,141,3,2.127659574468085
510,591,13,2.199661590524535,141,4,2.8368794326241136
511,589,6,1.0186757215619695,141,5,3.546099290780142
512,589,8,1.3582342954159592,141,5,3.546099290780142
513,589,8,1.3582342954159592,139,2,1.4388489208633095
514,589,11,1.8675721561969438,139,5,3.597122302158273
